КОД ТОВАРУ	ТОВАР
12544	Samsung C3322 Metallic Black
12545	Samsung C3322 Midnight Black
12546	Samsung C3322 Pink
12547	Samsung C3322 White
12548	Samsung C3322 wine red
12549	Samsung C3530 Chrome Silver
12550	Samsung C3592 cobalt black
12551	Samsung C3592 titanum silver
12552	Samsung C3592 wine red
12553	Samsung D900i black
12554	Samsung E1195 deep purple
12555	Samsung E1200 black
12556	Samsung E1200 indigo blue
12557	Samsung E1200 white
12558	Samsung E1202 black
12559	Samsung E1202 blue
12560	Samsung E1202 dark grey
12561	Samsung E1202 white
12562	Samsung E1272 ceramic white
12563	Samsung E1272 garnet red
12564	Samsung E1272 noble black
12565	Samsung E370 Black
12566	Samsung G130 Iris Charcoal
12567	Samsung G130 White
12568	Samsung G313H Lite black
12569	Samsung G313H Lite white
12570	Samsung G313H white
12571	Samsung G350E White
12572	Samsung G360H Silver
12573	Samsung G360H White
12574	Samsung G530H Grey
12575	Samsung I450 cherry red
12576	Samsung i8200 Black
12577	Samsung J100H Black
12578	Samsung J100H Blue
12579	Samsung R211 CDMA
12580	Samsung S5222 Pure White
12581	Samsung S5222 silver
12582	Samsung S5230 red
12583	Samsung S5380 sand silver
12584	Samsung S5380 wine red La Fleur
12585	Samsung S5610 Black
12586	Samsung S5611 Silver
12587	Samsung S5611 White
12588	Samsung S5620 J White
12589	Samsung S5660 dark silver
12590	Samsung S5660 silver white
12591	Samsung S5830 Black
12592	Samsung S5830 Galaxy Ace Ceramic white
12593	Samsung S6802 Black
12594	Samsung S7220 black уценка
12595	Samsung S7262 pure white
12596	Samsung S7390 ceramic white
12597	Samsung S7390 midnight black
12598	Samsung X500 UA
12599	Samsung X830 pink
12600	Sigma 50 Light grey
12601	Sigma 50 mini2 black green
12602	Sigma 50 mini2 White-orange
12603	Sigma Comfort 50 mini2 Black-green
12604	Sigma Comfort 50 mini2 White-orange
12605	Sigma Comfort 50 mini3 Black-green
12606	Sigma Comfort 50 Slim Black
12608	Sony Xperia E1 D2005 Black
12609	SonyEricsson C510i black
12610	SonyEricsson K310i UA
12611	SonyEricsson K510i UA
12612	SonyEricsson K750i UA
12613	SonyEricsson K800i Black
12614	SonyEricsson S500i black
12615	SonyEricsson W302i black
12616	SonyEricsson W380i Sparkling black
12617	SonyEricsson Z555i Black
12618	Киевстар Huawei U8180 Terra
12619	Киевстар Huawei U8650 Aqua
12620	Киевстар ZTE Bloom
12621	Киевстар ZTE Spark
12994	Samsung G313 Galaxy grey
12995	Nomi i450 black
12996	Nomi i400 black
12997	Nomi i240 white
12998	Nomi i240 black
12999	LG L60 Dual X145 3G white
13000	Lenovo A536 Black
13001	Lenovo A526 Dark Blue
13002	Lenovo A5000 Black  КП Gb8
13003	Lenovo A369 Black
13004	Lenovo A328 Black
13005	Gigabyte GSmart T4 Lite black
13006	Fly IQ434 black
13007	FLY EZZY6 Dual Sim white
13008	FLY DS104D Duos black
13009	Explay A240 black
16167	LG D285 L65 White
16168	LG H324 Y50 Leon DualSim White
16169	Nokia 535 DS White
16170	Nokia Lumia 430 DS Black
16171	Nokia Lumia 430 DS Orange
16172	Nokia Lumia 640 DS White
16173	Samsung A300H Midnight black
16174	Samsung A300H Platinum silver
16175	Samsung G360H Grey
16176	Samsung G530H Gold
16177	Samsung G530H White
16178	Samsung J100H White
16186	LG-GX300 wine red
16187	Samsung GT-S5360 pure white
16189	Samsung GT-C3782 onyx black
16190	Samsung GT-I8160 onyx black
16193	Samsung GT-I8190 Metallic Blue
16194	Sigma mobile Comfort 50 SE black
16195	Samsung GT-I8190 titan gray
16196	Samsung GT-E2202 black
16197	Sigma mobile X-treme IP67 Dual Sim black-orange
16198	Samsung GT-S6312 white
16199	Samsung GT-S6810 pure white
16200	Samsung GT-E2202 wine red
16201	Nokia 520 Lumia white
16203	Sigma mobile Х-treme IP68 black-orange (recharge fun
16204	FLY DS103D white
16205	Samsung GT-I8262 chic white
16206	Samsung GT-I8262 metallic blue
16207	Samsung GT-I9192 black mist
16208	Samsung GT-I9295 dive blue
16214	Samsung SM-C1010 pure white
16215	Nokia 301 Dual Sim yellow
16216	Sigma mobile Х-treme PQ11 black-orange
16221	Sigma mobile X-treme DZ67 Travel black orange
16222	FLY IQ431 glory black
16223	Sigma mobile X-treme IZ67 Boat
16224	Nokia 502 Dual Sim white
16225	Lenovo A516 White
16226	Lenovo A516 Pink
16227	Lenovo A680 Black
16228	Lenovo A760 White
16229	Lenovo A766 Black
16230	Lenovo P780 Black
16231	Lenovo A850 Black
16233	Sigma mobile X-treme IP67 Dual Sim green
16235	Lenovo A269i Black
16236	Sigma mobile X-treme DZ67 Travel black-black
16237	Lenovo A560 White
16238	Lenovo A560 Black
16239	Lenovo A680 White
16240	Lenovo S660 Gray
16241	Samsung SM-G355H Duos white
16242	FLY IQ4416 black
16243	Samsung SM-G350Е Galaxy Star Advance Duos black
16244	Samsung SM-G350Е Galaxy Star Advance Duos white
16245	LG D724 G3 S Dual Sim white
16246	LG D724 G3 S Dual Sim titan
16247	Nokia 530 Lumia Dual Sim grey
16248	Sigma mobile Х-treme PQ22A black 4500mAh
16249	Samsung SM-G313HU Galaxy Ace 4 Duos charcoal gray
16250	FLY IQ4406 white
16251	FLY TS111 black
16252	Samsung SM-G130E Galaxy Star 2 Duos gray
